name,regime,start_value,end_value,return_pct,drawdown_pct,avg_target_long_fraction,avg_target_short_fraction,min_health_factor,boost_share
static_long1.50,full_2021_2025,154.34271271271268,247243.50621364784,160091.2405633669,73.66285123343967,1.5,0.0,1.2390551906999954,0.0
static_long1.50,bull_2021,154.34271271271268,15149.093555921172,9715.230851954173,73.02161331314034,1.5,0.0,1.2390551906999954,0.0
static_long1.50,crash_2022,15149.093555921172,6830.546570480048,-54.9111863012407,73.66285123343967,1.5,0.0,1.2459485383566975,0.0
static_long1.50,recovery_2023,6830.546570480048,62024.0359068016,808.0391337181466,54.64463308296129,1.5,0.0,1.2424179104533717,0.0
static_long1.50,post_2024,60217.96750589386,247243.50621364784,310.58095524304895,51.83663692262226,1.5,0.0,1.2474404047597585,0.0
rv336_dd_e_tight_2_rec_t1.250_dd0.22_w0.012,full_2021_2025,154.4084069069069,75273.08977198554,48649.34680037715,55.593821745261074,0.5335685206410556,0.004594971110146847,1.3920622961443134,0.0024208098294014207
rv336_dd_e_tight_2_rec_t1.250_dd0.22_w0.012,bull_2021,154.4084069069069,7398.394221026004,4691.445212880481,47.822305654702916,0.670111786322123,0.006109582760201742,1.4832188658175094,0.0042411737734983955
rv336_dd_e_tight_2_rec_t1.250_dd0.22_w0.012,crash_2022,7397.964983788697,4822.882593784012,-34.80798294730393,55.40024872386886,0.31375581886639636,0.003118919537598718,1.3920622961443134,0.0029758498340391438
rv336_dd_e_tight_2_rec_t1.250_dd0.22_w0.012,recovery_2023,4822.946099471528,24837.437555113393,414.9847633137543,40.050833435826036,0.6573260073260073,0.004063644688644689,1.5033886913127958,0.003434065934065934
rv336_dd_e_tight_2_rec_t1.250_dd0.22_w0.012,post_2024,24366.463804568095,75273.08977198554,208.92086096577435,37.92994871592663,0.5142429085097883,0.004839906398036642,1.4797385530023297,0.0007419667827178814
